formula,target
Ba3Na(SiO4)2,0.0
Li2VF7,26.168600127015562
Ge3N4,24.319104521688093
Mg3C2O7,0.003206524397589885
Li2Ti3O7,6.625258251971758
CaMnS2,16.661767253686673
ZnP4,31.323954096827073
VSO4F3,17.922990650916653
Cs3AlI6,9.458575318969269
K2GaCuF6,0.0
Li4Mn3CoO8,9.421432836850506
P8W3O29,21.051092828867937
Mn(PO3)4,4.787791946559946
Li8HfO6,0.047858725641951344
Na3Zn2(MoO4)3,22.1580231997879
Ba4HfO6,3.241007418312624
MoW3Se8,18.707279007112344
LiMnP2O7,30.31289125055513
Na3V(SO)2,13.595252420635864
Li2CuSnO4,29.144535534301998
Na2PtC2,1.371727157878776
CaH2C2O5,1.0919532994067263
TlInO2,30.09650423305881
K2YCuBr6,12.600545590956507
HC,0.8546510611375452
Cs2RbGaCl6,1.0552590239644455
LiFe5O8,11.119069589976235
V3CrO8,5.143984136873379
Mo3WSe8,26.322368999282215
K3TlCl6,9.648981353707226
LiMn2F7,19.949235972134673
P2SeO3,2.8823952523885024
ZnCu(SeO3)2,10.777035297526217
CdH3Cl3O,3.1043683937642412
CuO2F,29.55131226890658
Li3Co(BO3)2,31.45924934116725
Pb(CO2)2,6.656206772389236
Nb3O7F,18.72127872805163
Li3Fe3TeO8,24.58161657067576
LiTeO3,18.66097340255867
HfFeO3,1.6118483128286467
AgPbBrO,5.245339850061455
LiVF6,2.775468023179488
VO,8.772117196110438
Li2V(Si2O5)3,10.43137562813256
CaBe3O4,0.03328307577785071
CaZn2(H5O4)2,1.4413936443048145
TiV3O8,30.305673992259802
TiSiAg2O5,0.6944030563707476
Ca2Mn2O5,21.543005073356095
BaYBr5,2.4219613188406353
Li2Sc(PO4)2,10.422877567604614
Cd4Te5Pb,32.46740303881715
NaH3C2O5,1.2016299583467083
MnNi3O4,1.8770595920374138
SrC2,10.24851797684936
Ba3YI9,6.592460299162764
V2CoO6,20.885753873910083
Na2Si2O5,0.030860923655452992
ZnSeO3,0.5801170711723922
Mn3CoO8,25.164613327137985
LiP2WO8,12.986717858907907
VPO5,30.57319840937018
LiCuF2,6.797485448618361
Zr3N2O3,6.895680292727967
NaV13O18,17.520508122357977
NaCr2O4,0.0
B2TeO5,2.150941188652442
BiRhO3,16.5664675014337
Ti(FeO2)3,31.9541301282589
Sb3O4F,13.445942750991671
Sn(PO3)2,0.8812075252397112
NaTlO,0.0
Ba2RuN2,5.54104754104674
Fe3PO7,11.256012594915607
BaY2CoO5,17.468388793321672
Li6Fe(SiO4)2,0.02095512967726563
Si2Ag2O5,26.875165845424426
LiNbCoO4,18.208709312530193
BiBr3,11.105840796905202
NbNO,31.978258848106194
AgIO4,4.8374972228243465
K3AsCl6,1.5361643040741664
AlCoO3,11.286030882624909
Li2MnF5,15.74786689009548
B12Pb6O25,0.0
Fe(W3Cl7)2,8.452785732893865
Mn15NiO32,29.51298842455093
Mg4SnN4,20.829488487866907
Cs2AlAgCl6,8.348925922031917
Ga2(CN2)3,17.720671701970915
